1-8;[7,13,9];[1,2,3,12,13,14,9,8,7,8];198.0;[13.0,9.0,7.0];61;33;[1.0,5.0,4.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0001800060272216797
2-8;[12,4,11];[2,3,12,11,12,3,4,5,6,14,9,8];229.0;[12.0,11.0,4.0];47;32;[0.0,9.0,9.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003879070281982422
1-10;[7,8,11];[1,0,11,13,6,7,8,9,10];233.0;[11.0,7.0,8.0];57;40;[0.0,8.0,7.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003032684326171875
1-7;[2,11,9];[1,2,3,12,11,13,14,9,8,7];204.0;[2.0,11.0,9.0];30;14;[2.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];8.678436279296875e-05
2-10;[5,4,1];[2,1,2,3,4,5,6,14,9,10];171.0;[1.0,4.0,5.0];57;44;[0.0,6.0,13.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002830028533935547
1-9;[7,3,12];[1,2,3,12,13,6,7,8,9];182.0;[3.0,12.0,7.0];50;38;[0.0,8.0,10.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00017881393432617188
0-8;[6,10,13];[0,11,13,6,14,9,10,9,8];208.0;[13.0,6.0,10.0];56;33;[0.0,9.0,7.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.000171661376953125
2-7;[3,1,8];[2,1,2,3,4,5,6,14,9,8,7];182.0;[1.0,3.0,8.0];38;22;[1.0,7.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002200603485107422
3-8;[5,12,0];[3,12,3,2,1,0,1,2,3,4,5,6,14,9,8];262.0;[12.0,0.0,5.0];51;40;[0.0,8.0,9.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002810955047607422
2-9;[1,4,3];[2,1,2,3,4,5,6,14,9];144.0;[1.0,3.0,4.0];34;27;[1.0,6.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002276897430419922
0-7;[4,5,8];[0,1,2,3,4,5,6,14,9,8,7];201.0;[4.0,5.0,8.0];40;13;[2.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0001304149627685547
3-10;[12,2,8];[3,2,3,12,13,14,9,8,9,10];207.0;[2.0,12.0,8.0];38;22;[1.0,7.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00025844573974609375
8-12;[7,9,0];[8,7,8,9,14,13,11,0,1,2,3,12];262.0;[7.0,9.0,0.0];47;30;[1.0,5.0,9.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002887248992919922
1-14;[0,4,9];[1,0,1,2,3,4,5,6,14,9,14];211.0;[0.0,4.0,9.0];33;19;[1.0,9.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00022411346435546875
0-9;[2,13,5];[0,1,2,3,12,13,6,5,6,14,9];205.0;[2.0,13.0,5.0];33;14;[2.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0004253387451171875
8-11;[3,14,0];[8,9,14,6,5,4,3,2,1,0,11];219.0;[14.0,3.0,0.0];52;32;[1.0,6.0,3.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003159046173095703
0-10;[2,12,7];[0,1,2,3,12,13,6,7,8,9,10];238.0;[2.0,12.0,7.0];32;19;[1.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002722740173339844
