1-8;[7,13,9];[1,2,3,12,13,14,9,8,7,8];198.0;[13.0,9.0,7.0];28;16;[2.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00017070770263671875
2-8;[12,4,11];[2,3,12,11,12,3,4,5,6,14,9,8];229.0;[12.0,11.0,4.0];26;33;[0.0,10.0,10.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00018835067749023438
1-10;[7,8,11];[1,0,11,13,6,7,8,9,10];233.0;[11.0,7.0,8.0];14;16;[2.0,6.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002689361572265625
1-7;[2,11,9];[1,2,3,12,11,13,14,9,8,7];204.0;[2.0,11.0,9.0];8;14;[2.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0001633167266845703
2-10;[5,4,1];[2,1,2,3,4,5,6,14,9,10];171.0;[1.0,4.0,5.0];9;15;[2.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0003123283386230469
1-9;[7,3,12];[1,2,3,12,13,6,7,8,9];182.0;[3.0,12.0,7.0];10;19;[1.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002701282501220703
0-8;[6,10,13];[0,11,13,6,14,9,10,9,8];208.0;[13.0,6.0,10.0];17;13;[2.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.0002300739288330078
2-7;[3,1,8];[2,1,2,3,4,5,6,14,9,8,7];182.0;[1.0,3.0,8.0];10;19;[1.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00031065940856933594
3-8;[5,12,0];[3,2,1,0,1,2,3,12,3,4,5,6,14,9,8];262.0;[0.0,12.0,5.0];26;37;[0.0,9.0,12.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00047850608825683594
2-9;[1,4,3];[2,1,2,3,4,5,6,14,9];144.0;[1.0,3.0,4.0];12;22;[1.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0];0.00016832351684570312
